MEC;AC;AcTB;X6MAM;DAM;PAP;NOS;Caffeine;Paracetamol
249748;3686821;2643492;11778282;31542014;1517312;24614204;6232854;3866824
57091;1253894;330098;1432283;8557226;884044;9143269;7223157;3249178
