Echantillons;Etat;Var;Squalane;BetaCaryophyllene;AlphaCaryophyllene;Guaiol;gEudesmol;Bulnesol;AlphaBisabolol;Cannabinoide1;THV;Cannabinoide2;CBL;CBDCBC;D9THC;CBG;CBN;Nonacosane
BG001_a;Stupefiant;BG;3323967;2403;2658;4548;3643;2566;2282;0;3229;5063;9333;363212;508311;2278;12599;41342
BG001_b;Stupefiant;BG;3299344;2513;2928;5050;3692;2714;2556;0;3092;5131;10162;385709;534400;2353;10693;43417
BG001_c;Stupefiant;BG;3354888;2362;2434;4693;3392;2572;2628;967;2757;4693;9525;355867;484499;2409;10070;44223
BG002_a;Stupefiant;BG;3338608;2827;2854;5114;4044;2759;2965;1332;3109;5287;9034;385209;575231;2532;11164;42297
BG002_b;Stupefiant;BG;3323493;2759;3000;5606;3897;2916;2965;0;3348;6350;9520;415763;616837;4064;13084;42101
BG002_c;Stupefiant;BG;3307941;2704;2908;5371;3488;2729;3151;967;3376;5606;9432;404267;610215;3850;11632;42749
BG003_a;Stupefiant;BG;3320955;1709;2157;5082;3238;2841;2834;0;3267;5946;9042;436153;638250;4124;13029;42620
BG003_b;Stupefiant;BG;3326287;1856;1863;4823;3185;2555;2853;0;3133;6856;10751;480733;682095;4878;13744;46967
BG003_c;Stupefiant;BG;3344566;1613;1855;4668;3286;2368;2826;1271;2970;6272;10038;430588;631764;5225;13829;54434
BG004_a;Stupefiant;BG;3313264;1663;1396;5395;3489;2677;2768;2499;4444;11409;12226;696265;841781;8573;21070;46857
BG004_b;Stupefiant;BG;3286989;1588;1656;4613;2999;2870;3201;2295;4791;12481;12897;764514;918170;9761;22091;44203
BG004_c;Stupefiant;BG;3283430;1574;1465;4569;2920;2613;3132;2202;4751;13296;12529;775922;938708;8866;22518;45230
BG005_a;Stupefiant;BG;3272497;1159;1187;3960;2770;2546;2435;1356;2740;6230;8506;387137;506191;2533;9653;33839
BG005_b;Stupefiant;BG;3297742;1505;1709;3998;2584;2295;2275;1272;2809;6307;9745;407025;521977;2968;10610;33394
BG005_c;Stupefiant;BG;3324562;1242;1232;3970;2435;2298;2395;1623;2757;6447;10266;414895;543210;3561;9760;33195
BG006_a;Stupefiant;BG;3309909;1962;2504;5508;4008;3112;3366;1738;2659;6421;6457;354774;526283;4120;12045;43729
BG006_b;Stupefiant;BG;3298206;2053;2607;5067;3678;2488;2872;1808;3262;7234;8810;383112;567019;4312;13433;42956
BG006_c;Stupefiant;BG;3309033;2102;2081;4757;3562;2567;2778;1580;3199;7062;7878;406418;569566;5754;14096;43555
BG007_a;Stupefiant;BG;3286863;2280;2675;5687;4753;3433;3174;1859;4044;7447;14061;631109;728445;2749;16591;42878
BG007_b;Stupefiant;BG;3313747;2187;2566;6655;4581;3451;3096;1415;4265;8620;16778;675070;761465;3464;17549;40148
BG007_c;Stupefiant;BG;3296340;2131;2856;6112;4424;3202;3317;1669;4531;8317;16449;655463;779752;3319;16717;42699
BG008_a;Stupefiant;BG;3286036;1927;2268;5686;3909;2983;3035;1539;2988;5815;9941;427097;579268;2617;12922;42631
BG008_b;Stupefiant;BG;3304353;2070;2344;5213;3656;2819;2685;1658;3237;7610;10587;445119;580829;2223;13955;41762
BG008_c;Stupefiant;BG;3288574;2286;2368;5652;3934;2881;2760;1461;2886;6995;10487;452241;572245;2515;13407;39255
BG009_a;Stupefiant;BG;3283498;1274;1543;4163;3210;2272;2701;1474;3096;5935;10705;389021;549575;3191;13720;41480
BG009_b;Stupefiant;BG;3292665;1553;1394;3705;2499;2206;2343;1064;2872;6688;9585;362065;519702;2798;14279;38041
BG009_c;Stupefiant;BG;3296411;1535;1411;3726;2577;1996;2539;1102;3109;7142;12325;437030;615627;3806;16676;40041
BG010_a;Stupefiant;BG;3270337;1274;1678;5663;3300;2629;2800;1905;3456;8105;10719;507811;625211;2646;17080;44466
BG010_b;Stupefiant;BG;3277039;1404;1610;4550;2945;2587;2837;1976;3602;10032;11525;552058;677670;2995;17427;41231
BG010_c;Stupefiant;BG;3363910;1236;1286;4316;3075;2386;2550;1804;3456;8866;11974;567289;664402;3374;18366;41800
CH001_a;Stupefiant;CH;3236161;913;1260;0;0;0;13608;1406;3092;6291;7003;262625;462438;7120;7029;26168
CH001_b;Stupefiant;CH;3212304;760;1000;0;0;0;13659;1668;2824;6015;6447;262304;450496;7125;5957;28033
CH001_c;Stupefiant;CH;3214775;739;1148;0;0;0;13261;1372;3127;6550;6881;263808;457758;6750;6975;28089
CH003_a;Stupefiant;CH;3240468;1887;2549;0;0;0;17797;2923;3861;8962;11250;374993;578114;3384;13238;37585
CH003_b;Stupefiant;CH;3259458;2131;2510;0;0;0;17703;3279;4143;8767;11869;415069;623680;3634;14427;38560
CH003_c;Stupefiant;CH;3213928;1888;2434;0;0;0;17400;3005;4361;9873;11425;394023;586008;3537;13397;34460
CH004_a;Stupefiant;CH;3235817;1608;2442;0;0;0;15905;2876;3467;8146;5064;240462;464064;9825;7016;27162
CH004_b;Stupefiant;CH;3241028;1509;2118;0;0;0;15443;2269;3373;8171;5617;239784;461248;9630;7448;28058
CH004_c;Stupefiant;CH;3231225;1507;2136;0;0;0;15082;2561;3533;8944;5650;245185;470661;10114;6976;28240
