Echantillons;Etat;Var;Squalane;BetaCaryophyllene;AlphaCaryophyllene;Guaiol;gEudesmol;Bulnesol;AlphaBisabolol;Cannabinoide1;THV;Cannabinoide2;CBL;CBDCBC;D9THC;CBG;CBN;Nonacosane
RD005_c;Stupefiant;RD;2576034;4766;6206;0;0;0;22581;2297;9013;9646;13745;566098;762022;5609;8724;41734
RD006_a;Stupefiant;RD;2614669;5730;7220;0;0;0;25001;1917;7167;7632;12187;445228;614253;5310;6775;35782
RD006_b;Stupefiant;RD;2589962;5989;7594;0;0;0;24863;2031;8155;8356;14781;554717;718763;5242;7742;28618
RD006_c;Stupefiant;RD;2616818;7274;9125;0;0;0;31337;2631;10758;10843;18375;711201;907758;6617;9538;37865
RD007_a;Stupefiant;RD;2581214;5766;7624;0;0;0;25567;3013;9481;10172;12099;587542;754441;6455;8340;36597
RD007_b;Stupefiant;RD;2588496;5960;7664;0;0;0;25584;2729;8797;11708;12113;599142;765080;5905;7895;33917
RD007_c;Stupefiant;RD;2648973;6156;7407;0;0;0;25292;1700;8105;7044;14965;520954;721147;5400;6366;46318
RD008_a;Stupefiant;RD;2611079;6013;7149;0;0;0;24624;1165;7936;5503;13074;479691;679233;4807;5678;50302
RD008_b;Stupefiant;RD;2603898;4825;6510;0;0;0;24619;1372;6999;6005;13142;444369;636184;5565;6041;53157
RD008_c;Stupefiant;RD;2632991;3899;4634;0;0;0;17696;1855;4571;6196;6125;244146;379023;4329;5096;60278
RD009_a;Stupefiant;RD;2594932;4065;5438;0;0;0;18404;1497;4321;5975;6308;240778;375457;3579;5137;57947
RD009_b;Stupefiant;RD;2586247;3678;4876;0;0;0;18278;1786;4687;7299;6355;253464;391198;4144;5727;56559
RD009_c;Stupefiant;RD;2582831;5440;6435;0;0;0;22972;2950;11604;10988;23107;848547;930643;6607;10039;36412
RD010_a;Stupefiant;RD;2589884;4620;5205;0;0;0;20274;2490;10499;10680;22281;788579;876851;5980;9855;34792
RD010_b;Stupefiant;RD;2572559;5006;6449;0;0;0;20970;3167;10484;11928;22105;775170;868770;7084;9833;37936
RD010_c;Stupefiant;RD;2583798;5406;6889;0;0;0;24390;3053;8258;11725;12145;574999;716997;6109;7881;31706
TP001_a;Stupefiant;TP;2542258;1025;1396;2718;1706;1011;5773;1070;1880;2712;3461;123398;339372;849;7658;36365
TP001_b;Stupefiant;TP;2605203;1166;1771;3161;2486;1212;6744;1387;2642;3622;3822;159505;426388;1141;9624;43111
TP003_a;Stupefiant;TP;2553048;1753;2479;3027;2154;1540;6207;0;1907;1924;2042;99866;293505;1099;3703;28273
TP003_b;Stupefiant;TP;2494291;1872;2128;2347;1973;1058;6036;0;1623;2537;1395;96843;290478;1075;3328;27013
TP003_c;Stupefiant;TP;2528827;1489;2077;2506;1970;1331;6392;926;2002;1861;1759;107268;309156;1090;3751;26744
TP004_a;Stupefiant;TP;2503903;2312;3348;3184;2608;1547;7228;0;3273;2637;4800;220530;502790;1057;5660;40941
TP004_b;Stupefiant;TP;2487235;2577;3733;3407;2708;1613;7260;0;3396;2454;4622;215450;501701;957;5201;44099
TP004_c;Stupefiant;TP;2503715;2840;3995;3419;2776;1713;7411;727;3251;2208;4688;212389;492536;1114;4920;42900
TP005_a;Stupefiant;TP;2478122;1811;2774;3145;2421;1509;7124;0;2505;2608;2242;126544;361608;1606;4252;33522
TP005_b;Stupefiant;TP;2497170;1935;2495;2985;2273;1320;6636;0;2550;2969;2956;146646;384632;2195;5923;29995
TP005_c;Stupefiant;TP;2551942;1656;2334;2912;2080;1449;5840;1385;2406;2417;2294;131465;372431;1827;4884;30824
TP006_a;Stupefiant;TP;2568650;2769;3805;3300;2713;1520;7288;1037;2820;2287;5075;198790;464690;2136;6332;44508
TP006_b;Stupefiant;TP;2592597;2015;2784;3063;2119;1568;6714;1048;3133;2032;4525;201276;479123;1941;8062;47420
TP006_c;Stupefiant;TP;2522267;2288;2715;3032;2158;1408;6046;1026;3034;1943;4878;191003;454022;2027;6886;47698
TP007_a;Stupefiant;TP;2475704;2391;2940;2770;1887;1156;5518;0;1960;1204;3368;110915;286715;913;3565;27934
TP007_b;Stupefiant;TP;2571956;2860;3902;3049;2425;1502;6184;743;2082;1921;4171;122365;312380;1073;4177;31106
TP007_c;Stupefiant;TP;2525039;2507;3439;2605;2043;1418;5726;585;2057;1363;3675;117242;301220;1070;3475;28525
TP008_a;Stupefiant;TP;2521980;2366;3054;2756;2151;1355;5646;0;2230;1591;5210;162783;360402;925;4187;35756
TP008_b;Stupefiant;TP;2498678;2738;4244;2986;2322;1491;6456;0;2691;1729;5377;168195;373438;851;4065;36986
TP008_c;Stupefiant;TP;2547886;2720;3316;2802;2219;1405;6129;0;2642;1595;5056;174465;376975;1030;4093;40372
TP009_a;Stupefiant;TP;2512351;1955;2576;3899;3028;1699;7735;0;2255;2288;3219;109020;331345;4025;4851;48343
TP009_b;Stupefiant;TP;2538065;1550;2043;3608;2704;1395;7686;1095;2335;2780;3412;107459;321042;4645;5124;49662
TP010_a;Stupefiant;TP;2536805;1381;2007;3537;2587;1220;7446;1143;2804;2887;3014;164499;476451;2798;6805;27450
TP010_b;Stupefiant;TP;2550700;1609;2256;3874;2825;1544;8101;1062;2729;2586;3063;160794;472814;2517;6895;29962
TP010_c;Stupefiant;TP;2568361;1461;2294;3604;2657;1564;7852;1273;2885;3147;2744;159685;470748;2820;7972;30931
FS001_1;Stupefiant;FS;2505154;1950;1895;1964;1361;1373;0;2214;429;5695;6163;233176;125699;2799;782;41441
FS001_2;Stupefiant;FS;3064924;1339;1750;1436;865;1212;0;5296;611;11623;8076;272703;160431;3303;1961;51098
FS002_1;Stupefiant;FS;2511593;3973;3773;2271;1700;1582;345;422;1796;1129;7594;101832;130026;411;1022;51960
FS002_2;Stupefiant;FS;2996028;3620;3485;2392;1668;1779;0;1604;2464;2969;9233;121015;178147;599;1752;59925
FS002_3;Stupefiant;FS;3065435;4042;4004;2722;1837;1852;0;1741;3009;3182;8617;137410;195063;1035;2378;61231
FS003_1;Stupefiant;FS;2501579;5176;4665;1010;598;670;37;292;510;869;4673;60393;73011;444;702;41146
FS003_2;Stupefiant;FS;3310328;5796;5723;1447;995;1120;0;1399;978;3111;7256;104166;122933;1009;1829;63837
FS003_3;Stupefiant;FS;3213428;6047;5926;1531;1058;1122;0;1437;950;3424;8787;114852;129528;1057;1882;68009
FS004_1;Stupefiant;FS;2522447;9248;10679;0;0;0;1067;215;660;992;4041;79346;184166;3784;1538;55672
FS004_2;Stupefiant;FS;3162306;9789;11046;0;0;0;1204;1511;1486;3109;7043;135967;317645;9754;3243;71191
FS004_3;Stupefiant;FS;3174169;10910;11911;0;0;0;1904;1513;1462;3409;7218;155258;333840;10426;3118;85584
FS005_1;Stupefiant;FS;2571467;8668;7875;0;0;66;466;2430;298;5493;12512;977787;9074;3445;519;35438
FS005_2;Stupefiant;FS;3321850;5676;5733;0;0;0;529;7097;578;15864;19820;1748623;18479;7739;802;52210
FS005_3;Stupefiant;FS;3301243;5727;5871;0;0;0;0;8489;551;15842;20438;1710655;16786;7845;916;58876
FS006_1;Stupefiant;FS;2512632;6092;5643;0;0;0;1350;914;85;1231;4128;409548;5498;172;439;54061
FS006_2;Stupefiant;FS;3082013;3633;3987;0;0;0;1299;2075;215;3361;7849;656682;9226;614;537;74025
FS006_3;Stupefiant;FS;3360587;4554;4801;0;0;0;1928;2546;202;3909;7841;784192;10319;1190;550;92448
FS007_1;Stupefiant;FS;2488497;1572;1510;471;344;383;22;748;122;1899;4470;144782;18629;260;396;43972
FS007_2;Stupefiant;FS;3121581;1504;1909;632;380;449;0;1737;279;4046;6690;200293;24856;908;755;57814
FS007_3;Stupefiant;FS;3110436;1503;1560;504;288;494;0;1780;244;3956;5868;167406;23581;683;787;60438
FS008_1;Stupefiant;FS;2520525;5280;5974;0;0;0;53;571;218;1502;7218;113470;72081;406;662;60120
FS008_2;Stupefiant;FS;3448774;5205;6148;0;0;0;0;1749;437;4138;9385;129875;92278;722;1704;86300
FS008_3;Stupefiant;FS;3166849;5440;6285;0;0;0;0;2029;417;4560;9950;142567;96178;966;1207;92183
FS009_1;Stupefiant;FS;2755614;6830;6148;0;0;0;524;1362;865;5145;12412;272175;185289;4144;1680;50981
FS009_2;Stupefiant;FS;3154371;4526;4350;0;0;88;412;3957;1276;11080;17123;343914;232199;6103;2955;69999
FS009_3;Stupefiant;FS;3168243;4862;4755;0;0;0;415;4391;1461;11823;17934;373360;256207;7232;3035;69420
FS010_1;Stupefiant;FS;2542454;7498;7830;0;0;0;168;378;1042;1124;8072;108627;168223;1522;1093;40470
FS010_2;Stupefiant;FS;2679946;6242;6446;0;0;187;0;1400;1305;2621;10044;112520;172939;1866;1828;44940
FS010_3;Stupefiant;FS;2773734;6697;7110;0;0;0;0;1631;1607;2561;10314;129481;205108;2394;2410;55113
FS011_1;Stupefiant;FS;2532664;8586;7282;1040;787;727;0;167;545;267;2228;18172;94180;634;1040;44385
FS011_2;Stupefiant;FS;2708189;8982;8287;1455;1054;1117;0;594;799;817;3534;33497;130390;1306;2060;57628
FS011_3;Stupefiant;FS;2780664;10882;9911;1711;1120;1160;842;654;990;877;4088;35980;152213;1356;2052;68714
FS012_1;Stupefiant;FS;2513632;9112;8348;1551;1003;1057;0;778;761;2385;5345;260518;135121;3207;1115;42868
FS012_2;Stupefiant;FS;2810669;4658;4650;1732;1034;1204;0;2810;1410;5788;7813;330112;171676;5224;0;60306
FS012_3;Stupefiant;FS;2698999;4480;4455;1617;984;1297;0;3144;1421;6902;7103;361228;186827;5924;0;65102
FS013_1;Stupefiant;FS;2549578;2434;2386;935;626;622;0;568;152;893;4115;200860;49092;0;704;39614
FS013_2;Stupefiant;FS;2911794;2611;2777;1217;778;956;0;1335;344;2057;5657;243870;60808;796;1408;59084
FS013_3;Stupefiant;FS;2920405;2869;2989;1338;866;930;0;1489;346;2083;6014;291209;66981;1022;0;63975
FS014_1;Stupefiant;FS;2662136;4264;4050;2167;1506;1357;349;608;959;1485;7104;118507;240820;4578;2039;48015
FS014_2;Stupefiant;FS;2853019;3379;3580;2085;1459;1656;0;1629;1502;3074;10657;142141;284634;6401;3846;62825
FS014_3;Stupefiant;FS;2925492;4078;3911;2554;1743;1897;0;1791;1617;3644;9538;156490;303789;7102;4515;71452
FS015_1;Stupefiant;FS;2558558;1816;2249;0;0;0;107;111;71;173;942;13521;34886;747;554;40967
FS015_2;Stupefiant;FS;2893305;993;1238;18;0;0;0;267;125;386;1152;15183;28911;782;931;62854
FS015_3;Stupefiant;FS;2865838;1034;1533;0;0;0;0;226;134;271;792;14629;28772;655;849;62186
FS016_1;Stupefiant;FS;2560493;7177;6507;1342;1016;986;0;755;376;2325;5312;667597;76107;5414;902;26168
FS016_2;Stupefiant;FS;2938796;6676;6303;1843;1492;1506;0;2553;669;5805;7423;1006617;116284;10936;0;35370
FS016_3;Stupefiant;FS;2824974;5532;5363;1743;1251;1301;0;2628;551;5598;6708;940143;106229;0;1776;35239
FS017_1;Stupefiant;FS;2534672;1417;1943;2038;1270;1632;363;2929;389;5417;16316;484493;59139;1609;900;40359
FS017_2;Stupefiant;FS;2956290;1296;1819;1739;1262;1555;0;5744;414;9942;18263;547061;70138;2391;1314;50665
FS017_3;Stupefiant;FS;2962317;1717;2094;2444;1421;1905;0;7502;735;13033;23358;720597;91390;3374;2373;70489
FS018_1;Stupefiant;FS;2909398;6418;7827;0;0;0;0;691;646;1513;3084;39924;179009;2398;1262;41144
FS018_2;Stupefiant;FS;2524464;5818;6830;0;0;0;0;807;609;1459;3053;41901;164761;2589;1304;40389
GR001_1;Stupefiant;GR;2414666;7807;10087;0;0;0;3717;798;711;2124;3209;201836;276765;3128;858;30014
GR001_2;Stupefiant;GR;2310327;3686;4835;0;0;0;4005;3928;1561;9736;5694;249543;268726;6912;4026;36311
GR001_3;Stupefiant;GR;2268208;3465;4384;0;0;0;4021;3924;1535;9663;5238;237154;241685;6785;4139;37272
GR002_1;Stupefiant;GR;2410531;13457;17269;0;0;0;7572;716;2057;1880;4898;402333;562223;20684;1891;27962
GR002_2;Stupefiant;GR;2412864;6402;8334;0;0;0;8139;4453;3232;9351;6778;373933;516505;22650;6047;37774
GR002_3;Stupefiant;GR;2300416;6169;7993;0;0;0;7815;4702;3116;8743;6494;368373;485281;21652;6172;37024
GR003_1;Stupefiant;GR;2418712;6334;8535;0;0;0;5888;1395;813;3677;5786;242946;232793;3793;951;35339
GR003_2;Stupefiant;GR;2403816;2270;3144;0;0;0;5849;4568;1526;12400;8052;248001;222124;6230;5495;47603
GR003_3;Stupefiant;GR;2533117;2128;3109;0;0;0;5794;4803;1477;12400;8138;248755;212289;5798;5605;46684
GR004_1;Stupefiant;GR;2467335;8025;10445;0;0;0;4388;985;854;2746;4697;193240;220545;1402;1076;34326
GR004_2;Stupefiant;GR;2556600;5217;7079;0;0;0;7332;4436;3108;10400;7934;320547;477113;30681;6932;50023
GR004_3;Stupefiant;GR;2475054;3578;4888;0;0;0;3682;3366;1218;8070;5370;163319;179140;2514;4564;38221
GR005_1;Stupefiant;GR;2467701;13621;17342;0;0;0;8236;1041;2352;3061;6215;351101;536096;33863;1926;42995
GR005_2;Stupefiant;GR;2622100;5822;7511;0;0;0;7670;5200;3283;11619;8680;351757;528453;33027;8327;59429
GR005_3;Stupefiant;GR;2554050;5117;7112;0;0;0;7521;5012;3145;10970;7867;338330;482352;33790;7671;51559
GR006_1;Stupefiant;GR;2463179;9855;12141;0;0;0;3750;535;935;2001;3456;135999;214407;6181;1109;32025
GR006_2;Stupefiant;GR;2453300;5940;7464;0;0;0;4625;2554;1457;6638;4577;139529;203207;8671;4189;39266
GR006_3;Stupefiant;GR;2351029;5542;7211;0;0;0;4339;2661;1476;5996;3778;119449;188795;7604;4597;38227
GR007_1;Stupefiant;GR;2445892;14955;18830;0;0;0;10669;580;2539;1709;4107;266359;523145;40918;1931;46858
GR007_2;Stupefiant;GR;2465501;6104;7702;0;0;0;9308;3343;3311;6986;4681;255801;496510;37863;6891;53441
GR007_3;Stupefiant;GR;2527489;6056;7745;0;0;0;9198;3326;2902;6341;4478;242815;473361;34475;6646;58451
GR008_1;Stupefiant;GR;2463143;14845;17426;0;0;0;5777;422;1645;1443;3039;156970;375341;11256;1829;31002
GR008_2;Stupefiant;GR;2639126;6714;8450;0;0;44;6165;2343;2202;5540;4046;152108;349940;11143;6952;42763
GR008_3;Stupefiant;GR;2740549;6638;8635;0;0;65;6321;2650;2325;5497;4297;164609;359230;12320;6916;48160
GR009_1;Stupefiant;GR;2497611;14323;17768;0;0;0;7682;1101;1700;3472;5066;303922;360937;14936;1337;32815
GR009_2;Stupefiant;GR;2602706;4635;6360;0;0;0;6308;5054;2347;11239;6657;292677;339463;16638;6874;38465
GR009_3;Stupefiant;GR;2537287;4902;6429;0;0;0;7229;5367;2719;11536;7840;332276;380425;18996;6887;42089
GR010_1;Stupefiant;GR;2540029;10932;13829;0;0;0;7057;480;1257;1430;3697;151931;289664;13418;1155;34542
GR010_2;Stupefiant;GR;2555414;4889;6423;0;0;0;6733;2119;1771;5139;4930;147698;256860;12600;5914;41301
GR010_3;Stupefiant;GR;2535367;4888;6031;0;0;0;5951;2310;1779;4934;4693;142962;264256;12975;5941;42315
GR011_1;Stupefiant;GR;2640911;15150;18609;0;0;0;10155;859;2367;2893;4953;260628;552222;20921;1936;47379
GR011_2;Stupefiant;GR;2580905;8747;11143;0;0;0;9572;4066;3415;10056;7614;277666;545105;27183;8038;56627
GR011_3;Stupefiant;GR;2648437;8596;11098;0;0;0;9614;4583;3800;10288;7566;289718;554977;28861;8717;57388
GR012_1;Stupefiant;GR;2623933;11592;14695;0;0;0;9360;1006;2008;3796;7805;297062;454532;12456;1752;39369
GR012_2;Stupefiant;GR;2565864;4930;6284;0;0;0;7953;4096;2702;10200;7967;266795;411089;13363;8166;46871
GR012_3;Stupefiant;GR;2518826;4386;5797;0;0;0;7608;4132;2698;9945;7716;255830;384702;13215;7394;42576
GR013_1;Stupefiant;GR;2646019;11230;14759;0;0;0;6906;1086;1776;3600;5733;251769;380470;21159;1900;32456
GR013_2;Stupefiant;GR;2549051;4259;5622;0;0;0;6028;3394;2052;9300;5445;190782;302134;17682;6431;35232
GR013_3;Stupefiant;GR;2476107;4283;5507;0;0;0;5697;3722;2217;9360;6054;202222;308907;17536;7169;35083
GR014_1;Stupefiant;GR;2652247;14915;18343;0;0;0;9070;562;2178;2147;4470;286009;460056;23952;1882;44411
GR014_2;Stupefiant;GR;2634688;9211;11677;0;0;0;9501;3166;2642;7725;5040;247582;398526;17908;6050;55325
GR014_3;Stupefiant;GR;2537944;8289;10389;0;0;0;8336;3169;2673;7327;4947;237231;365931;18310;6559;50858
GR015_1;Stupefiant;GR;2922699;12007;14890;0;0;0;7700;1677;2397;4735;8965;440652;419927;32049;1691;43287
GR015_2;Stupefiant;GR;2500880;3776;5435;0;0;0;6414;5188;2560;11932;8314;311469;314126;22441;6430;40561
GR015_3;Stupefiant;GR;2574141;4423;5952;0;0;0;6347;5168;2754;12625;8907;344863;341936;23386;7840;44963
GR016_1;Stupefiant;GR;2614360;32622;38776;0;0;0;12361;394;3771;1544;5126;291383;710393;42526;2460;38851
GR016_2;Stupefiant;GR;2469658;12989;15891;0;0;0;10463;2803;3748;5336;5827;225194;562744;29424;7940;38298
GR016_3;Stupefiant;GR;2437373;13175;15802;0;0;0;10807;3072;3518;5294;5801;221577;546752;26482;7662;39946
GR017_1;Stupefiant;GR;2459214;20903;24789;0;0;0;8023;456;1714;1477;4066;184094;406058;18487;2292;28702
GR017_2;Stupefiant;GR;2490541;8305;10272;0;0;0;6832;2242;1735;5042;4518;140368;300391;11833;7737;32198
GR017_3;Stupefiant;GR;2470160;9037;11073;0;0;0;7634;2430;2252;5543;5315;182338;383984;18214;8569;35897
SK001_1;Stupefiant;SK;2601497;1971;2134;2762;2209;2186;7750;953;1063;3250;6217;216722;239601;15051;1809;24018
SK001_2;Stupefiant;SK;3334416;1434;1648;3204;2190;2361;7989;3180;1981;9464;11067;358025;326538;29535;4760;42239
SK001_3;Stupefiant;SK;3406145;1451;1841;3466;2401;2527;8576;3676;2369;10730;11802;368536;351832;33250;5153;42985
SK002_1;Stupefiant;SK;2627251;3316;3454;3219;2382;2277;3170;358;1036;1317;5116;152111;196207;13377;1227;30736
SK002_2;Stupefiant;SK;3470601;2695;2887;4084;2792;2892;4187;1949;1948;4588;8473;247719;276870;24484;4449;55856
SK002_3;Stupefiant;SK;3378559;2412;2805;4219;2741;2903;4369;2151;2081;4610;7724;264897;274755;25090;5195;60236
SK003_1;Stupefiant;SK;2596283;3046;3140;2371;1916;1891;6130;102;1203;503;1710;63662;205963;14414;1413;32166
SK003_2;Stupefiant;SK;3428448;3427;3607;3583;2740;2773;8492;1174;2496;2286;5108;126046;320770;31545;5867;57613
SK003_3;Stupefiant;SK;3331556;3399;3512;3808;2684;2650;8650;1451;2448;2097;3614;136550;319647;32837;6146;68910
SK004_1;Stupefiant;SK;2612024;3940;3635;3171;2414;2419;3845;177;763;674;3078;62958;199758;6778;1593;34387
SK004_2;Stupefiant;SK;3216518;4514;4485;4834;3428;3303;5177;995;1775;2506;6006;110340;277867;13259;5488;57486
SK004_3;Stupefiant;SK;3317324;4492;4456;5116;3632;3534;5304;1328;2009;3081;5853;129355;336227;15768;7078;66851
SK005_1;Stupefiant;SK;2647979;3266;3121;2094;1598;1611;3001;146;666;426;2370;48006;129940;4300;1053;33354
SK005_2;Stupefiant;SK;3699918;3123;3250;2942;2175;2176;4169;866;1769;2125;4780;105053;231944;12962;6429;60307
SK005_3;Stupefiant;SK;3664461;3558;3256;3332;2391;2075;4831;869;1859;2033;4984;112128;234055;11576;7095;68339
SK006_1;Stupefiant;SK;2648931;4146;4303;3175;2413;2417;4336;428;709;1562;5134;149540;202608;9036;1199;28365
SK006_2;Stupefiant;SK;3190614;2905;3409;3847;2624;2998;5085;1998;1430;4603;9391;241747;273644;18298;4955;43061
SK006_3;Stupefiant;SK;3273624;3398;3595;4111;2850;2944;5784;2107;1484;5438;9135;260080;277540;17202;5355;56706
SK007_1;Stupefiant;SK;2755856;2161;2321;3217;2419;2524;9916;1313;1206;4885;6082;243004;247659;20130;2080;31284
SK007_2;Stupefiant;SK;3394957;1297;1498;2920;2120;2333;7650;4026;2404;13546;11027;409600;368371;40786;7421;43968
SK007_3;Stupefiant;SK;3309664;1485;1772;3180;2325;2405;7828;4129;2483;14965;10972;447821;386171;46658;7687;51374
SK008_1;Stupefiant;SK;2689014;6232;6036;4966;4019;3725;6521;348;1261;1667;4925;166278;294866;12099;1741;32076
SK008_2;Stupefiant;SK;3215720;4538;4800;6055;4414;4436;7430;2302;2685;5319;9295;302347;437029;30071;8338;49212
SK008_3;Stupefiant;SK;3325320;4828;4603;6092;4555;4449;7584;1945;2752;5978;8356;313655;435921;33658;7428;51370
SK009_1;Stupefiant;SK;2668998;4357;4067;2971;2320;2244;3409;95;1013;409;1209;40804;188630;8119;1131;29457
SK009_2;Stupefiant;SK;3379621;4630;4463;4187;3186;3080;4756;862;2089;1857;2734;90474;280385;20591;6901;48058
SK009_3;Stupefiant;SK;3321870;4520;4642;4163;3146;3062;4755;709;2160;1772;2701;84249;288475;19784;6971;54599
SK010_1;Stupefiant;SK;2692955;3433;3495;2727;1877;1920;4425;108;651;527;4005;59065;160956;7408;1336;32370
SK010_2;Stupefiant;SK;2327084;1433;1537;1414;1105;1088;2598;556;849;1508;3893;52382;148436;7391;1878;28009
SK010_3;Stupefiant;SK;2392455;1463;1651;1567;1106;1120;2568;632;882;1677;4104;50201;145286;6345;2176;34004
SK011_1;Stupefiant;SK;2635400;2325;2481;2847;2236;2171;5335;1089;879;4339;6251;237206;175672;6216;1478;28116
SK011_2;Stupefiant;SK;2709316;761;929;1625;1177;1244;2839;3376;1337;10798;7586;236358;186835;7078;3273;33879
SK011_3;Stupefiant;SK;2378219;746;790;1394;953;1019;2462;3168;908;9409;7117;187318;148088;5395;2513;31619
SK012_1;Stupefiant;SK;2668266;2290;2132;2576;1875;1921;3056;245;589;1001;2337;50748;130893;4427;989;33952
SK012_2;Stupefiant;SK;2451284;942;990;1507;1209;1175;2178;870;664;2585;2367;55660;129627;4965;2115;29156
SK012_3;Stupefiant;SK;2331278;1035;1087;1673;1279;1226;2290;909;867;2652;3334;65354;149720;6649;2458;29950
SK013_1;Stupefiant;SK;2720212;3188;3013;3243;2516;2409;4166;163;858;866;3825;70362;200475;6627;1523;35319
SK013_2;Stupefiant;SK;2535270;1228;1308;1874;1326;1380;2460;858;1099;1964;4162;69249;182100;8607;2538;27909
SK013_3;Stupefiant;SK;2330325;1335;1371;1884;1410;1246;2509;1019;1075;1973;4273;66127;191297;7915;2926;29206
SK014_1;Stupefiant;SK;2710068;3335;3324;3337;2508;2522;6007;263;746;1135;4167;75350;186217;6614;1423;26991
SK014_2;Stupefiant;SK;2338358;1379;1424;1843;1358;1472;3517;975;840;2269;4176;70389;167705;7531;2526;22612
SK014_3;Stupefiant;SK;2391698;1437;1463;1949;1391;1387;3570;1065;929;2562;4429;81350;183833;8849;2877;25069
SK015_1;Stupefiant;SK;2504356;1774;1880;1940;1691;1698;5137;544;605;2017;3522;103454;124733;6912;1024;32729
SK015_2;Stupefiant;SK;2413993;623;733;1221;841;955;2843;1591;764;4446;3131;96197;118131;7832;2266;30185
SK015_3;Stupefiant;SK;2406845;604;721;1127;859;962;2843;1528;783;4279;3867;97659;114189;8130;2339;31200
SK016_1;Stupefiant;SK;2509931;2381;2468;1920;1516;1457;4496;116;597;478;1888;30741;124756;6933;919;27196
SK016_2;Stupefiant;SK;3290331;1572;1552;1646;1191;1149;3457;662;869;1552;2374;42677;152131;10035;2953;37776
SK016_3;Stupefiant;SK;3574252;1617;1907;1881;1283;1462;4271;868;1051;2062;3022;51295;177581;12971;3792;45129
SK017_1;Stupefiant;SK;2511165;1465;1416;1224;1000;925;1128;222;207;849;2089;32761;41175;738;953;20242
SK017_2;Stupefiant;SK;2937960;838;1024;945;708;676;919;829;431;2519;2647;52487;53714;1472;2570;24732
SK017_3;Stupefiant;SK;2921949;758;1017;848;708;631;812;1088;473;2547;3168;50280;51577;1146;2286;28451
BE001_1;Fibre;BE;1910047;5128;6727;0;0;0;0;3463;0;0;3382;664955;6539;740;0;29838
BE001_2;Fibre;BE;2006338;5374;6889;0;0;0;0;3652;0;0;0;668494;6459;0;0;32337
BE001_3;Fibre;BE;1961021;5945;7224;0;0;0;0;3106;0;0;3639;654038;6794;0;0;38372
BE002_1;Fibre;BE;1973092;2795;4628;0;0;0;0;1029;0;0;1518;405323;5790;0;0;18278
BE002_2;Fibre;BE;1959753;2637;4198;0;0;0;0;1051;0;0;1838;405466;5045;0;0;17156
BE002_3;Fibre;BE;1979894;2390;4141;0;0;0;0;1035;0;0;1365;403811;5717;0;0;17867
BE003_1;Fibre;BE;1979213;3032;3658;0;0;0;0;1193;0;0;2209;247922;3013;0;0;21668
BE003_2;Fibre;BE;1996863;2933;3395;0;0;0;0;1145;0;0;2023;233893;2792;0;0;21403
BE003_3;Fibre;BE;1984955;2785;3638;0;0;0;0;1242;0;0;1921;220878;2876;0;0;24410
BE004_1;Fibre;BE;2082493;5530;8392;0;0;0;0;0;0;0;1606;516750;7300;0;0;26812
BE004_2;Fibre;BE;2069714;5498;8303;0;0;0;0;0;0;0;1443;475586;7145;3064;0;30212
BE004_3;Fibre;BE;2040407;5865;8794;0;0;0;0;0;0;0;1653;471984;7088;2480;0;25368
BE005_1;Fibre;BE;2024847;4334;5876;0;0;0;0;0;0;0;915;382454;5532;2419;0;19892
BE005_2;Fibre;BE;2032161;3897;5402;0;0;0;0;0;0;0;718;382031;5717;2657;0;21764
BE005_3;Fibre;BE;2299758;4358;5557;0;0;0;0;0;0;0;702;423734;6925;3182;0;25621
BE006_1;Fibre;BE;2033696;5895;7770;0;0;0;0;0;0;0;1068;544400;7163;4010;0;27726
BE006_2;Fibre;BE;2080922;5098;6874;0;0;0;0;0;0;0;1163;560055;7259;3909;0;27838
BE006_3;Fibre;BE;2116597;7254;9490;0;0;0;0;506;0;0;1808;779107;11043;6707;0;38479
BE007_1;Fibre;BE;2103229;5381;6985;0;0;0;0;0;0;0;1083;302297;4012;2042;0;20420
BE007_2;Fibre;BE;2102121;5116;6421;0;0;0;0;0;0;0;1120;300238;4318;2586;0;18494
BE007_3;Fibre;BE;2056063;5908;7259;0;0;0;0;0;0;0;792;294751;4088;2103;0;18310
BE008_1;Fibre;BE;2063900;5271;7789;0;0;0;0;0;0;0;1399;438573;6242;2106;0;27487
BE008_2;Fibre;BE;2117548;4823;7331;0;0;0;0;0;0;0;1404;452375;5921;2421;0;27585
BE008_3;Fibre;BE;2131324;4468;6866;0;0;0;0;0;0;0;1297;463532;6078;2341;0;23917
BE009_1;Fibre;BE;2053128;9005;13696;0;0;0;0;0;0;0;1247;721242;10876;5757;0;20508
BE009_2;Fibre;BE;2032967;8287;12545;0;0;0;0;0;0;0;1264;749407;11889;5695;0;20412
BE009_3;Fibre;BE;2155551;3919;4559;0;0;0;0;0;0;0;926;330913;5216;729;0;26428
BE010_1;Fibre;BE;2032015;3664;3951;0;0;0;0;0;0;0;854;303231;4173;574;0;24593
BE010_2;Fibre;BE;2318903;4566;4880;0;0;0;0;0;0;0;1096;354452;4878;737;0;28090
BE010_3;Fibre;BE;2055273;6373;8357;0;0;0;0;0;0;0;1074;491860;6805;9144;0;22343
BE011_1;Fibre;BE;2175064;5973;8178;0;0;0;0;0;0;0;14925;453654;5555;7749;0;20641
BE011_2;Fibre;BE;2082128;6374;8231;0;0;0;0;0;0;0;1240;502802;7616;8148;0;23967
