Place;Canton;Date;Name;MEC;AC;AcTB;X6MAM;DAM;PAP;NOS;Caffeine;Paracetamol
LAUSANNE;VD;2/14/2007;067_02_07_1_1b;469284;5941454;1299701;6566192;58087965;6973254;70599523;6277471;3536387
LAUSANNE;VD;2/14/2007;067_02_07_1_1a;407464;5288555;1159596;5838706;52241865;6366071;63815584;6580634;3417327
GENEVE;GE;02/06/2008;346_11_08_5c;23055;913193;156963;2450455;7334271;320924;6073360;6358889;3668033
GENEVE;GE;02/06/2008;346_11_08_5b;30097;874930;146624;2367344;6998460;308700;5694014;7742563;3223878
GENEVE;GE;02/06/2008;346_11_08_5a;19227;888860;152195;2414882;7129684;322230;5991646;7398181;3442629
ESSERT-PITTET;VD;11/09/2007;360_10_07_5_c;154338;3650148;1027404;10587182;24089395;1556900;24754353;6411551;3060266
ESSERT-PITTET;VD;11/09/2007;360_10_07_5_b;138265;3348255;894638;9178287;22642320;1424387;24018117;7136608;3170753
ESSERT-PITTET;VD;11/09/2007;360_10_07_5_a;134827;3354482;822818;9379089;22722846;1417793;22663231;7739493;3093577
ESSERT-PITTET;VD;11/09/2007;360_10_07_4_2c;126125;3159058;845293;8570454;21374849;1344288;21530580;7918042;3571807
ESSERT-PITTET;VD;11/09/2007;360_10_07_4_2b;139444;3396291;853425;8690537;23480521;1469771;23401211;6201161;3761162
ESSERT-PITTET;VD;11/09/2007;360_10_07_4_2a;127289;3208147;883358;7092551;23049213;1346643;21757644;6212451;3067569
ESSERT-PITTET;VD;11/09/2007;360_10_07_4_1c;142162;3549568;891271;9301408;23896630;1542945;24198540;7287683;3695359
ESSERT-PITTET;VD;11/09/2007;360_10_07_4_1b;126141;3443252;873338;8462841;23285323;1457995;23082864;7843323;3938558
ESSERT-PITTET;VD;11/09/2007;360_10_07_4_1a;151609;3583648;1039517;8973747;24412547;1513150;24673283;7157051;3828083
GENEVE;GE;11/29/2006;015_01_07_2_c;53499;1092088;279204;1299913;7595435;793547;8211485;7323190;3924793
GENEVE;GE;11/29/2006;015_01_07_2_b;52961;1162815;302442;1345039;8005075;853060;8965672;7650922;3337846
GENEVE;GE;11/29/2006;015_01_07_2_a;51643;1206779;309764;1374452;8211609;835763;8557061;6256869;3193461
GENEVE;GE;11/29/2006;015_01_07_1_c;61881;1275947;344036;1372305;8767220;943360;9599253;6093895;3823694
GENEVE;GE;11/29/2006;015_01_07_1_b;49590;1030105;256279;1121030;7101600;712804;7314800;6459763;3840868
GENEVE;GE;11/29/2006;015_01_07_1_a;61800;1137331;298037;1232709;7973540;801712;8232281;7973942;3587247
GENEVE;GE;06/11/2006;463_12_06_11_c;67407;1361594;343940;1851261;9093108;954364;9742196;7360862;3029855
GENEVE;GE;06/11/2006;463_12_06_11_b;64789;1443833;382112;1906023;9715901;1015582;10263969;7828708;3345275
GENEVE;GE;06/11/2006;463_12_06_11_a;69880;1350183;356024;1811293;9042117;951420;9784541;7306642;3510056
GENEVE;GE;06/11/2006;463_12_06_9_c;69927;1492779;402666;1971224;9954489;1092630;10564847;6207518;3125323
GENEVE;GE;06/11/2006;463_12_06_9_b;76952;1524463;419039;1962576;10195915;1136456;10804860;7569479;3607487
GENEVE;GE;06/11/2006;463_12_06_9_a;73572;1423236;396364;1826470;9460251;1034804;10220006;7104310;3104705
GENEVE;GE;06/11/2006;463_12_06_8_c;65094;1410147;384280;1901043;9202267;1026712;10059401;7388890;3898879
GENEVE;GE;06/11/2006;463_12_06_8_b;63094;1338972;373729;1811952;8945800;985296;9658878;6909391;3853696
GENEVE;GE;06/11/2006;463_12_06_8_a;62840;1375402;377642;1793003;9038280;1001569;9679455;7305774;3980142
GENEVE;GE;06/11/2006;463_12_06_7_c;57197;1284190;346031;1691881;8607387;932846;9440390;6338659;3962365
GENEVE;GE;06/11/2006;463_12_06_7_b;65338;1396604;362197;1762019;9291107;1002813;10053338;6581063;3610694
GENEVE;GE;06/11/2006;463_12_06_7_a;60771;1271662;342595;1687842;8528219;931694;9311839;6265638;3781810
GENEVE;GE;06/11/2006;463_12_06_6_c;61752;1329722;355773;1722422;8929670;939080;9807576;6374337;3146411
GENEVE;GE;06/11/2006;463_12_06_6_b;68509;1471093;379736;1909949;9918885;1049078;10773733;7728284;3310741
GENEVE;GE;06/11/2006;463_12_06_6_a;53466;1228492;322080;1588195;8299707;870308;9210274;6041687;3849967
GENEVE;GE;06/11/2006;463_12_06_5_c;57949;1248826;330987;1603028;8429807;903026;9288463;7102281;3243110
GENEVE;GE;06/11/2006;463_12_06_5_b;60430;1360775;367334;1695952;9218288;966583;10023600;6719726;3359213
GENEVE;GE;06/11/2006;463_12_06_5_a;54575;1229061;324375;1608136;8240964;852794;8993917;6545174;3402111
GENEVE;GE;06/11/2006;463_12_06_4_c;67521;1400252;368445;1785418;9380363;996680;10336183;7598662;3821690
